abbreviation;name;cnpj;type_branch;municipal_registration;state_registration;postal_code;street;complement;number;district;city;state;created_at
G2L MATRIZ;G2L LOGISTICA S.A;29081265000143;Matriz;4983439;206603970114;06455020;ALAMEDA TOCANTINS;SALA 1406 A 1410;75;ALPHAVILLE CENTRO IND E EMPRESARIAL;BARUERI;SP;2024-01-25 19:47:00
G2L SAPUCAIA DO SUL;G2L LOGISTICA S.A;29081265000224;Filial;210030;1320160562;93212110;AVENIDA BORGES DE MEDEIROS;;650;COLONIAL;SAPUCAIA DO SUL;RS;2024-01-25 19:47:00
G2L MARACANAU;G2L LOGISTICA S.A;29081265000305;Filial;115507;67867987;61939120;AVENIDA PARQUE OESTE;PARTE;S/N;DISTRITO INDUSTRIAL I;MARACANAU;CE;2024-01-25 19:47:00
G2L ARACARIGUAMA;G2L LOGISTICA S.A;29081265000496;Filial;;734022290115;18147000;RODOVIA PRESIDENTE CASTELO BRANCO;KM 52 PARTE;S/N;RONDA;ARACARIGUAMA;SP;2024-01-25 19:47:00
G2L OURO BRANCO;G2L LOGISTICA S.A;29081265000577;Filial;112317;31431290025;36420000;ROD MG 443;KM 7 PARTE;S/N;FAZENDA DO CADETE;OURO BRANCO;MG;2024-01-25 19:47:00
G2L RECIFE;G2L LOGISTICA S.A;29081265000658;Filial;6174612;77824385;50950000;AVENIDA  GETULIO VARGAS;PARTE;3666;CURADO;RECIFE;PE;2024-01-25 19:47:00
G2L RIO DE JANEIRO;G2L LOGISTICA S.A;29081265000739;Filial;11187331;11184359;23560905;AVENIDA JOAO 23;;6777;SANTA CRUZ;RIO DE JANEIRO;RJ;2024-01-25 19:47:00
G2L DIVINOPOLIS;G2L LOGISTICA S.A;29081265000810;Filial;75318;31431290106;35500450;AVENIDA GABRIEL PASSOS;SALA PARTE;102;PORTO VELHO;DIVINOPOLIS;MG;2024-01-25 19:47:00
G2L ARAUCARIA;G2L LOGISTICA S.A;29081265000909;Filial;68280423;9081203617;83705000;ROD PR-423;;S/N;ESTACAO;ARAUCARIA;PR;2024-01-25 19:47:00
G2L SIMOES FILHO;G2L LOGISTICA S.A;29081265001034;Filial;17358;158713041;43700000;ROD BR 324;KM 16;S/N;CIA SUL;SIMOES FILHO;BA;2024-01-25 19:47:00
G2L MOGI DAS CRUZES;G2L LOGISTICA S.A;29081265001115;Filial;1019376;454710880116;8780680;AVENIDA ENGENHEIRO MIGUEL GEMMA;;1871;JARDIM ARMENIA;MOGI DAS CRUZES;SP;2024-01-25 19:47:00
G2L CUIABA;G2L LOGISTICA S.A;29081265001468;Filial;208816;138878927;78098000;AV AYRTON SENNA DA SILVA;SETOR LADO PARTE A1;685;PASCOAL RAMOS;CUIABA;MT;2024-01-25 19:47:00
G2L VITORIA;G2L LOGISTICA S.A;29081265001700;Filial;1291274;83816240;29050545;RUA JOSE ALEXANDRE BUAIZ;ED MASTER TOWER SALA 1215;190;ENSEADA DO SUA;VITORIA;ES;2024-01-25 19:47:00
G2L SAO JOSE DOS CAMPOS;G2L LOGISTICA S.A;29081265001620;Filial;422661;125285774118;12238170;RUA CARAVELAS;SALA 01;351;JARDIM VALE DO SOL;SAO JOSE DOS CAMPOS;SP;2024-01-25 19:47:00
G2L CONTAGEM;G2L LOGISTICA S.A;29081265001549;Filial;72141779;31431290289;32240500;RUA DOS JESUITAS;2 ANDAR SALA 2;214;BANDEIRANTES;CONTAGEM;MG;2024-01-25 19:47:00
G2L COTIA;G2L LOGISTICA S.A;29081265001204;Filial;6029010;278469560114;6707000;RODOVIA RAPOSO TAVARES;;28500;GRANJA VIANA;COTIA;SP;2024-01-25 19:47:00
G2L APARECIDA DE GOIANIA;G2L LOGISTICA S.A;29081265001387;Filial;3110068240;108684911;74954015;V EX ANEL VIARIO;QUADRA 0003 SALA 01;S/N;VEIGA JARDIM;APARECIDA DE GOIANIA;GO;2024-01-25 19:47:00
G2L BARAO DE COCAIS;G2L LOGISTICA S.A;29081265001891;Filial;;31431290360;35970000;RUA SEBASTIAO ALVES PEREIRA;DEPOSITO CARVAO SALA A;S/N;GARCIA;BARAO DE COCAIS;MG;2024-01-25 19:47:00
G2L CHARQUEADAS;G2L LOGISTICA S.A;29081265001972;Filial;;2360049920;96745000;AV GETULIO VARGAS;PRED TRANSPORTA;3200;CENTRO;CHARQUEADAS;RS;2024-01-25 19:47:00
G2L ACAILANDIA;G2L LOGISTICA S.A;29081265002197;Filial;;127459367;65930000;RUA JOAO CASTELO;SETOR 097/QD 08/LT05 SL02;5;PEQUIA;ACAILANDIA;MA;2024-01-25 19:47:00
G2L CAMACARI;G2L LOGISTICA S.A;29081265002278;Filial;;193233779;42816220;VIA DE LIGACAO;LIGACAO CAMACARI DIAS D A;S/N;POLO INDUSTRIAL DE CAMACARI;CAMACARI;BA;2024-01-25 19:47:00
G2L PINDAMONHANGABA;G2L LOGISTICA S.A;29081265002359;Filial;;528291690117;12442260;AVENIDA ENGENHEIRO LUIZ DUMONT VILLARES;KM 02;S/N;INDUSTRIAL MOREIRA CESAR;PINDAMONHANGABA;SP;2024-01-25 19:47:00
G2L CAUCAIA;G2L LOGISTICA S.A;29081265002430;Filial;;70648352;61690000;BR 222;KM 32 SALA 1;S/N;PRIMAVERA;CAUCAIA;CE;2024-01-25 19:47:00
G2L GUARULHOS;G2L LOGISTICA S.A;29081265002600;Filial;;127852950111;7221030;RUA SISA;SALA1 E 2;450;CIDADE INDUSTRIAL SATELITE;GUARULHOS;SP;2024-01-25 19:47:00
G2L ITAJAI;G2L LOGISTICA S.A;29081265002510;Filial;;262231093;88301080;RUA OLIMPIO MIRANDA JUNIOR;SALA 10 E 11 BOX 27;168;CENTRO;ITAJAI;SC;2024-01-25 19:47:00
