branch_id;serie;emission_date;weight;weight_m3;weight_charged;m3;shipping_value;tax_amount;total_value;type_transportation;lot;origin_branch_id;recipient_branch_id;calculation_branch_id;debit_branch_id;shipping_table_order;shipping_table;shipping_type;insurance;insurance_contract;delivery_time;doct_blocked;sender_customer_id;recipient_customer_id;consignee_customer_id;debtor_customer_id;customer_calculation_id;delivery_route_id;delivery_date;cte_protocol;cte_key;cte_situation;cte_sefaz_return;cost_center_id;bill
5;13;2024-01-16 20:24:00;4;51;6,660000;37,010000;23611.5; 236.12 ; 23847.62 ;FOB;53;4;12;12;12;3;1;RODOVIARIO;Não Averbado;;2024-02-20;0;267;266;;266;266;1;;852475824;31202412908126500014355132704563120108414444;Aguardando retorno da Sefaz;Autorizado;1;
23;10;2023-08-03 18:57:36;4;44;36,510000;19,490000;35883.28; 358.83 ; 36242.11 ;FOB;96;17;9;9;9;1;1;AEREO;Não Averbado;;2024-02-19;0;787;247;;247;247;1;2024-03-02;669136769;34202382908126500014355108486576830108273333;Autorizado;Autorizado;1;
20;15;2023-03-20 02:38:24;5;28;27,170000;49,960000;26776; 535.52 ; 27311.52 ;FOB;26;11;4;4;4;2;1;AEREO;Averbado;449112;2024-02-26;0;275;952;;952;952;1;;279763511;51202332908126500014355159601419850108802222;Autorizado;Autorizado;1;
2;15;2022-10-03 12:43:12;44;52;48,510000;27,610000;16336.47; 326.73 ; 16663.2 ;FOB;25;3;17;17;17;3;1;RODOVIARIO;Não Averbado;;2024-02-27;0;982;276;;276;276;1;;616368960;34202210290812650001435515139420004010862999;Autorizado;Autorizado;1;
16;10;2023-02-07 13:12:00;24;43;26,400000;24,470000;24147.62; 241.48 ; 24389.1 ;FOB;2;21;13;13;13;2;1;RODOVIARIO;Não Averbado;;2024-02-19;0;724;403;;403;403;1;2024-02-22;599115325;16202322908126500014355106057503640108339999;Autorizado;Autorizado;1;
6;15;2022-07-21 07:12:00;32;28;37,420000;27,480000;10946.1; 218.92 ; 11165.02 ;FOB;41;4;8;8;8;2;1;AEREO;Averbado;2226184;2024-02-20;0;842;705;;705;705;1;;137420295;45202272908126500014355151748419140108420000;Aguardando retorno da Sefaz;Autorizado;1;
4;11;2022-11-11 19:55:12;19;49;14,020000;40,910000;11918.95; 357.57 ; 12276.52 ;FOB;69;11;6;6;6;1;1;AEREO;Não Averbado;;2024-02-14;0;566;640;;640;640;1;2024-02-24;348466089;12202211290812650001435511514970000108541111;Rejeitado;Schema Invalido;1;
14;13;2023-10-22 04:33:36;12;6;33,160000;49,540000;26206.68; 786.2 ; 26992.88 ;FOB;25;16;18;18;18;2;1;RODOVIARIO;Averbado;518838;2024-02-18;0;104;157;;157;157;1;2024-02-20;200831689;47202310290812650001435513979294819010835999;Aguardando retorno da Sefaz;Autorizado;1;
3;14;2022-08-16 13:55:12;29;27;16,940000;10,500000;25534.02; 510.68 ; 26044.7 ;CIF;33;3;9;3;3;3;1;RODOVIARIO;Averbado;1153430;2024-02-28;0;687;929;;687;687;1;;775155163;52202282908126500014355144530774940108104444;Rejeitado;Schema Invalido;1;
6;11;2022-12-22 21:21:36;5;8;7,970000;43,130000;23886.79; 238.87 ; 24125.66 ;CIF;36;22;8;22;22;2;1;RODOVIARIO;Não Averbado;;2024-03-03;0;741;540;;741;741;1;;704586260;11202212290812650001435511114778306010819111;Autorizado;Autorizado;1;
