name;description;created_at;updated_at;deleted_at
GRUPO MILHAO                  ;      ;25/1/24 19:47;        ;        
GRUPO MILI                    ;      ;25/1/24 19:47;        ;        
GRUPO MINALBA                 ;      ;25/1/24 19:47;        ;        
GRUPO MINASPLUS TEXTIL        ;      ;25/1/24 19:47;        ;        
GRUPO MINERACAO VULCANO       ;      ;25/1/24 19:47;        ;        
GRUPO MMC ADMIN E INCO        ;      ;25/1/24 19:47;        ;        
GRUPO MOBLY COMERCIO VAREJISTA;      ;25/1/24 19:47;        ;        
GRUPO MONDIAL                 ;      ;25/1/24 19:47;        ;        
GRUPO MSI INCORPORADORA       ;      ;25/1/24 19:47;        ;        
GRUPO MTV TRANSPORTES E LOGIST;      ;25/1/24 19:47;        ;        
GRUPO N MINAS TRANSPORTES     ;      ;25/1/24 19:47;        ;        
GRUPO NACIONAL GAS BUTANO     ;      ;25/1/24 19:47;        ;        
GRUPO NACIONAL TUBOS          ;      ;25/1/24 19:47;        ;        
GRUPO NATURAL ONE             ;      ;25/1/24 19:47;        ;        
GRUPO NELSON HEUSI LOGISTICA  ;      ;25/1/24 19:47;        ;        
GRUPO NEOPRIME EMP E INCORP   ;      ;25/1/24 19:47;        ;        
GRUPO NEOVIA                  ;      ;25/1/24 19:47;        ;        
GRUPO NILSON SEGURO TRANSPORTE;      ;25/1/24 19:47;        ;        
GRUPO NILZA VIEIRA DE PAULA SA;      ;25/1/24 19:47;        ;        
GRUPO NITEROIENSE             ;      ;25/1/24 19:47;        ;        
GRUPO NORT STAR CORREIA MATERI;      ;25/1/24 19:47;        ;        
GRUPO NORTENE PLASTICOS       ;      ;25/1/24 19:47;        ;        
GRUPO NOVAFORMA PLASTICOS     ;      ;25/1/24 19:47;        ;        
GRUPO O L INDUSTRIA DE PAPEIS ;      ;25/1/24 19:47;        ;        
GRUPO OJI PAPEIS              ;      ;25/1/24 19:47;        ;        
GRUPO OLM TRANSPORTE          ;      ;25/1/24 19:47;        ;        
GRUPO OMEGA                   ;      ;25/1/24 19:47;        ;        
GRUPO OZZY CONSTRUTORA E INCOR;      ;25/1/24 19:47;        ;        
GRUPO OZZY EMPREEND IMOB SPE  ;      ;25/1/24 19:47;        ;        
GRUPO P E W IGARAPE TRANSPORTE;      ;25/1/24 19:47;        ;        
GRUPO P J DE MATOS TRANSPORTES;      ;25/1/24 19:47;        ;        
GRUPO P&G                     ;      ;25/1/24 19:47;        ;        
GRUPO P. PEIXOTO PENA COMERCIO;      ;25/1/24 19:47;        ;        
GRUPO P.H.C. LOG TRANSPORTES  ;      ;25/1/24 19:47;        ;        
GRUPO PACER LOGISTICA         ;      ;25/1/24 19:47;        ;        
GRUPO PACHECO CLORO & PISCINAS;      ;25/1/24 19:47;        ;        
GRUPO PADO EMP IMOB           ;      ;25/1/24 19:47;        ;        
GRUPO PANDURATA               ;      ;25/1/24 19:47;        ;        
GRUPO PARADISO GIOVANELLA TRAN;      ;25/1/24 19:47;        ;        
GRUPO PARAISO DO CONSTRUTOR   ;      ;25/1/24 19:47;        ;        
GRUPO PASS E EMP IMOB         ;      ;25/1/24 19:47;        ;        
GRUPO PASSOS GOUVEA & CIA     ;      ;25/1/24 19:47;        ;        
GRUPO PAULA E RAYANNE MAT CONS;      ;25/1/24 19:47;        ;        
GRUPO PAULO MADEIREIRA & MAT D;      ;25/1/24 19:47;        ;        
GRUPO PAX TECNOLOGIA          ;      ;25/1/24 19:47;        ;        
GRUPO PC CONSTRUTORA          ;      ;25/1/24 19:47;        ;        
GRUPO PENHA PAPEIS E EMBALAGEN;      ;25/1/24 19:47;        ;        
GRUPO PEREIRA E PESSANHA      ;      ;25/1/24 19:47;        ;        
GRUPO PEREIRA MAT CONSTR DE VA;      ;25/1/24 19:47;        ;        
GRUPO PERFIPAR SA MANUF. S DE ;      ;25/1/24 19:47;        ;        
GRUPO PETROFISA DO BRASIL     ;      ;25/1/24 19:47;        ;        
GRUPO PIETRO BIAZI TRANSPORTES;      ;25/1/24 19:47;        ;        
GRUPO PLACAS DO BRASIL        ;      ;25/1/24 19:47;        ;        
GRUPO PLACO DO BRASIL         ;      ;25/1/24 19:47;        ;        
GRUPO PLASTICOS NOVEL         ;      ;25/1/24 19:47;        ;        
GRUPO POLIMODALLOG LOGISTICA E;      ;25/1/24 19:47;        ;        
GRUPO POLISOPRO               ;      ;25/1/24 19:47;        ;        
GRUPO POLPAS MR               ;      ;25/1/24 19:47;        ;        
GRUPO POLYEXCEL               ;      ;25/1/24 19:47;        ;        
GRUPO PORTES DESIGN EIRELI    ;      ;25/1/24 19:47;        ;        
GRUPO PORTO CALI EMPREENDIMENT;      ;25/1/24 19:47;        ;        
GRUPO POTIGUAR RACOES         ;      ;25/1/24 19:47;        ;        
GRUPO PREMOLDADOS PORTO MAGALH;      ;25/1/24 19:47;        ;        
GRUPO PRIMEPET DISTRIBUIDORA  ;      ;25/1/24 19:47;        ;        
GRUPO PRIMOS DEPOSITO LTDA    ;      ;25/1/24 19:47;        ;        
GRUPO PROCAED EMP. IMOBILIARIO;      ;25/1/24 19:47;        ;        
GRUPO PROJEART                ;      ;25/1/24 19:47;        ;        
GRUPO PROLINCON EMPREITEIRA   ;      ;25/1/24 19:47;        ;        
GRUPO QUALY SUCATA            ;      ;25/1/24 19:47;        ;        
GRUPO R M MATERIAIS DE CONSTRU;      ;25/1/24 19:47;        ;        
GRUPO RAPIDO RESENDE          ;      ;25/1/24 19:47;        ;        
GRUPO RAQUEL FERREIRA DA MOTA ;      ;25/1/24 19:47;        ;        
GRUPO RBI COMERCIO            ;      ;25/1/24 19:47;        ;        
GRUPO RCR                     ;      ;25/1/24 19:47;        ;        
GRUPO REGIANE MAGALHAES DE OLI;      ;25/1/24 19:47;        ;        
GRUPO RIP SERVICOS INDUSTRIAIS;      ;25/1/24 19:47;        ;        
GRUPO RIZOMA                  ;      ;25/1/24 19:47;        ;        
GRUPO RLR TRANSPORTES         ;      ;25/1/24 19:47;        ;        
GRUPO RODOANEL TRANSPORTES    ;      ;25/1/24 19:47;        ;        
GRUPO RODOFORTE TRANSPORTES LT;      ;25/1/24 19:47;        ;        
GRUPO RODOFROTA               ;      ;25/1/24 19:47;        ;        
GRUPO RODORRICA               ;      ;25/1/24 19:47;        ;        
GRUPO RODRIGUES BARBOSA & CIA ;      ;25/1/24 19:47;        ;        
GRUPO ROGAI MAT CONSTR        ;      ;25/1/24 19:47;        ;        
GRUPO RT MULTI SERVICE        ;      ;25/1/24 19:47;        ;        
GRUPO RT043 MINERACAO         ;      ;25/1/24 19:47;        ;        
GRUPO S & A TRANSPORTES       ;      ;25/1/24 19:47;        ;        
GRUPO SAFRA CONSTR            ;      ;25/1/24 19:47;        ;        
GRUPO SAFRA SUBLIME           ;      ;25/1/24 19:47;        ;        
GRUPO SAFRA VETERINARIOS      ;      ;25/1/24 19:47;        ;        
GRUPO SAFRAS ARMAZENS         ;      ;25/1/24 19:47;        ;        
GRUPO SAGA                    ;      ;25/1/24 19:47;        ;        
GRUPO SAINT GOBAIN            ;      ;25/1/24 19:47;        ;        
GRUPO SANDENE                 ;      ;25/1/24 19:47;        ;        
GRUPO SBAMTUBOS               ;      ;25/1/24 19:47;        ;        
GRUPO SEA TRANSPORTES         ;      ;25/1/24 19:47;        ;        
GRUPO SEARA                   ;      ;25/1/24 19:47;        ;        
GRUPO SEBASTIAO FERNANDES     ;      ;25/1/24 19:47;        ;        
GRUPO SENDAS                  ;      ;25/1/24 19:47;        ;        
GRUPO SEQTRA ENGENHARIA       ;      ;25/1/24 19:47;        ;        
GRUPO SERVICO AUT.AGUA ESG. BE;      ;25/1/24 19:47;        ;        
GRUPO SHOPPING DA CONSTRUCAO  ;      ;25/1/24 19:47;        ;        
GRUPO SIDERQUIMICA            ;      ;25/1/24 19:47;        ;        
GRUPO SILLAW                  ;      ;25/1/24 19:47;        ;        
GRUPO SILVANA MENDES DOS SANTO;      ;25/1/24 19:47;        ;        
GRUPO SILVANO                 ;      ;25/1/24 19:47;        ;        
GRUPO SOLAR COM MAT DE CONST  ;      ;25/1/24 19:47;        ;        
GRUPO SOLAR COMERCIO DE MADEIR;      ;25/1/24 19:47;        ;        
GRUPO SOLISTEEL SOLUCOES      ;      ;25/1/24 19:47;        ;        
GRUPO SOLVOCON CONSULTORIA    ;      ;25/1/24 19:47;        ;        
GRUPO SOMA LOGISTICA          ;      ;25/1/24 19:47;        ;        
